ingredient,role,n_all,complete_cases,model_status,unadjusted_all_ms,unadjusted_cc_ms,original_ols_ms,original_se,original_p,hc3_adjusted_ms,hc3_se,hc3_p,hc3_ci_low,hc3_ci_high,precision_weighted_ms,precision_weighted_hc3_se,precision_weighted_p,precision_weighted_ci_low,precision_weighted_ci_high,weight_p99,weight_max,hc3_fdr_q,precision_weighted_fdr_q,hc3_calibrated_ms,hc3_calibrated_se,hc3_calibrated_ci_low,hc3_calibrated_ci_high,hc3_calibrated_p,hc3_calibrated_fdr_q
acetaminophen,negative_control,2670,1680,fit,-5.6969288304723555,-4.054781992197395,-4.054781992197395,0.6708796248944439,1.8500418072359848e-09,-4.054781992197395,0.6727526276656115,2.0486809790985843e-09,-5.3743081090934695,-2.73525587530132,-4.002371502938695,0.6566052650780658,1.351226938237307e-09,-5.290226444164762,-2.7145165617126286,3.9375,17.5,1.6389447832788674e-08,1.0809815505898456e-08,-2.0097578349531475,1.121042290643357,-4.207000724614128,0.18748505470783217,0.07301158509473539,
amiodarone,candidate,920,663,fit,5.894597059242205,6.934631215839457,6.934631215839456,1.2215334491142993,2.0607002253190146e-08,6.934631215839456,1.2353660158190234,2.931056737187114e-08,4.5088759445715745,9.360386487107338,8.53893059366633,1.1913460901004453,2.066345095513771e-12,6.1996125122557935,10.878248675076865,3.9612499999999997,6.428571428571429,3.810373758343248e-07,2.6862486241679022e-11,8.979655373083704,1.526521834898043,5.98767257668354,11.971638169483867,4.042902864683437e-09,5.255773724088468e-08
azithromycin,candidate,495,387,fit,-0.03561339668765959,0.9823240454385127,0.9823240454385144,1.3986281781186767,0.48289313823354124,0.9823240454385144,1.414820679093265,0.4879132349351207,-1.7995571715862049,3.764205262463234,0.36100990161950586,1.4293695545310061,0.8007406617629022,-2.449477939486382,3.1714977427253936,2.727272727272727,3.5,0.5230118526148109,0.8007406617629022,3.0273482026827616,1.6750693338993008,-0.2557876917598678,6.310484097125391,0.07071594441173373,0.10214525303917095
bisacodyl,negative_control,349,270,fit,-2.4023842904148287,-1.5441514087127248,-1.5441514087127255,1.5242060416389749,0.31195386439987777,-1.5441514087127255,1.5510606012163088,0.3203895782287872,-4.598282354489348,1.5099795370638975,-0.6608414898081872,1.4284003174139974,0.644003237164554,-3.4734470120877448,2.15176403247137,4.818840579710148,17.11111111111111,0.3661595179757568,0.7360036996166331,0.5008727485315216,1.7916273909564504,-3.010716937743121,4.012462434806165,0.7798127886243497,
ciprofloxacin,candidate,649,477,fit,-0.7971235187806884,1.314082128407379,1.314082128407378,1.2976985004253032,0.3117613660688566,1.314082128407378,1.3107045255146603,0.31658200865795905,-1.2614981241741234,3.8896623809888795,1.642036931692392,1.3109211571325659,0.21098188375535687,-0.9339690095979687,4.218042872982752,2.6902597402597404,5.625,0.374142373868497,0.29385837879496457,3.359106285651625,1.588107701821426,0.24641519008163026,6.47179738122162,0.03441607684358636,0.055926124870827834
citalopram,candidate,75,47,insufficient_complete_cases,-0.03640077252592353,-2.159103955467751,,,,,,,,,,,,,,,,,,,,,,,
dexmedetomidine,candidate,1185,849,fit,-1.147275179597248,1.238784465843977,1.2387844658439766,0.9578829668426038,0.19627888641869595,1.2387844658439766,0.9634237823534336,0.1988616543425974,-0.6522128993268599,3.129781831014813,1.1494689930963806,0.9368815122367833,0.22019989792276962,-0.6894315027885101,2.988369488981271,4.106240601503759,16.875,0.32315018830672076,0.29385837879496457,3.2838086230882237,1.316178218853403,0.7040993141355538,5.863517932040894,0.012597224296950506,0.032752783172071316
docusate,negative_control,1389,830,fit,-3.999021373498473,-1.7063331205318488,-1.7063331205318497,0.9793462175565683,0.08182671096019041,-1.7063331205318497,0.996509732147068,0.0872167904742172,-3.6623363749475533,0.24967013388385384,-1.386621803003033,0.9670893165021704,0.15200691641163525,-3.2848770727365464,0.5116334667304805,3.9818750000000023,6.206896551724138,0.1726512813548629,0.24321106625861638,0.3386910367123974,1.340586202242788,-2.288857919683467,2.9662399931082617,0.8005433393396953,
enoxaparin,negative_control,189,152,fit,-4.805158698399011,-4.0409922171108805,-4.0409922171108805,2.607039036046366,0.12332899944935223,-4.0409922171108805,2.6739843088602293,0.1329224828293809,-9.32632292842586,1.2443384942040998,-5.083737508528911,2.4843331774999644,0.04254427817888601,-9.994208522390657,-0.17326649466716404,3.1975000000000096,4.8,0.1772299771058412,0.08508855635777202,-1.9959680598666334,2.8203424975365383,-7.523839355038248,3.531903235304982,0.4791290063455135,
erythromycin,candidate,89,75,insufficient_complete_cases,-2.1091400276375376,-1.0060746458995729,,,,,,,,,,,,,,,,,,,,,,,
famotidine,negative_control,1675,1237,fit,-1.5974872299080172,-1.5832039217276404,-1.5832039217276408,0.8246977621798758,0.0551222429783924,-1.5832039217276408,0.828868222820245,0.056355584796911266,-3.209357255225851,0.04294941177056932,-1.8340864976232216,0.8192447293910161,0.02535041570235011,-3.441359536897349,-0.22681345834909394,3.9508333333333354,7.71875,0.15028155945843005,0.06760110853960029,0.46182023551660634,1.221131544994687,-1.9315975926729798,2.8552380637061923,0.7052891515917655,
fluconazole,candidate,293,238,fit,-1.2058108536939294,-2.4337699496240606,-2.433769949624061,2.0092397875814783,0.2270277555723003,-2.433769949624061,2.0580239043761814,0.238198224800165,-6.488759838576079,1.6212199393279567,-2.9807989552234235,2.118288408929032,0.16072590376737372,-7.154529912296603,1.1929320018497562,3.179166666666665,8.029411764705882,0.3440641024891272,0.29385837879496457,-0.3887457923798139,2.2449058132500133,-4.78876118634984,4.011269601590213,0.8625193960410378,0.9343960123777909
haloperidol,candidate,850,662,fit,2.5447051634007725,2.4883905705363043,2.4883905705363047,0.9629877800743054,0.009980976681440929,2.4883905705363047,0.9713266715432854,0.010634687407146114,0.581095539889265,4.395685601183344,2.078320679095196,0.9857037559987434,0.035370614798371496,0.14279483533404735,4.013846522856344,4.338496240601502,7.5,0.04608364543096649,0.09196359847576588,4.533414727780552,1.321973986972239,1.9423457133149635,7.12448374224614,0.0006051919682264547,0.0026224985289813037
heparin,negative_control,4215,2949,fit,-2.036768230051884,-2.3856556030302922,-2.3856556030302936,0.4966460250183116,1.6369714885858364e-06,-2.3856556030302936,0.4976460349237923,1.7171371334080109e-06,-3.361425482522962,-1.409885723537625,-2.2328542955721717,0.5002281098229187,8.359603440199354e-06,-3.2136870324701996,-1.2520215586741439,3.3042424242424233,7.366666666666666,6.8685485336320434e-06,3.3438413760797414e-05,-0.3406314457860464,1.0255687668095652,-2.350746228732794,1.6694833371607012,0.7397842573279676,
levofloxacin,candidate,480,361,fit,2.94000501966949,3.069592710092334,3.069592710092334,1.5359438860522023,0.046428411150970635,3.069592710092334,1.5634306348316673,0.05038788372298682,-0.005217277028634282,6.144402697213302,2.815748854294543,1.5155032143679814,0.06400666061554355,-0.164801939092158,5.796299647681243,3.3098901098901052,7.741935483870968,0.16376062209970715,0.13868109800034437,5.114616867336581,1.8023471001197495,1.582016551101872,8.64721718357129,0.004543224796900015,0.014765480589925049
methadone,candidate,122,101,fit,1.255232928243852,2.635648252562101,2.635648252562102,2.4598406362541674,0.28673036365327015,2.635648252562102,2.578906225851034,0.30943095763271355,-2.4855484097606184,7.756844914884823,5.971756866919389,2.494721562894708,0.018684423963033905,1.0177342610354314,10.925779472803345,4.2,5.419354838709677,0.374142373868497,0.06420311494751327,4.680672409806349,2.7303657339472203,-0.6708444287302022,10.0321892483429,0.08647321072162295,0.11241517393810985
olanzapine,candidate,189,156,fit,2.637787389730837,2.6046549730869732,2.604654973086974,1.903740731879299,0.17333012666831987,2.604654973086974,1.9587772612723804,0.18565134710035755,-1.266128832892503,6.475438779066451,2.3568267116628747,1.9387004789196196,0.22604490676535735,-1.4742829131099247,6.1879363364356745,3.4218749999999893,4.0,0.32315018830672076,0.29385837879496457,4.649679130331221,2.154285978847202,0.4272786117907055,8.872079648871736,0.03090149598432943,0.055926124870827834
ondansetron,candidate,774,495,fit,-3.6217187890292992,-2.1459579209846664,-2.1459579209846655,1.192405148985628,0.0725286486272841,-2.1459579209846655,1.202747754454384,0.07501156637057449,-4.509173359532971,0.21725751756363998,-2.6298042518580154,1.124474981248234,0.019754804599234854,-4.839225658886656,-0.42038284482937494,3.224000000000001,4.421052631578948,0.19503007256349367,0.06420311494751327,-0.1009337637404184,1.500247273027011,-3.04141841887336,2.8395508913925234,0.9463603228915426,0.9463603228915426
